model,method,n_samples,mean_topk_recall,mean_jaccard,mean_signed_cosine,mean_evidence_mass,mean_polarity_agreement,mean_llm_match_score,prediction_llm_agreement_rate,rank
transformer,integrated_gradients_steps100,30,0.510159,0.494365,0.67011,0.89448,0.911111,0.604216,0.966667,1
transformer,integrated_gradients_steps50,30,0.501825,0.482698,0.635542,0.889796,0.877778,0.589343,0.966667,2
cnn,ngram_occlusion,30,0.472857,0.452897,0.702162,0.855495,0.95,0.586069,0.966667,3
cnn,integrated_gradients_steps100,30,0.496587,0.477857,0.572289,0.887568,0.861111,0.569477,0.966667,4
cnn,integrated_gradients_steps50,30,0.496587,0.477857,0.571998,0.887377,0.861111,0.569376,0.966667,5
cnn,filter_activation,30,0.465714,0.443968,0.613038,0.852445,0.894444,0.561374,0.966667,6
cnn,unigram_occlusion,30,0.480714,0.452738,0.541718,0.904558,0.877778,0.553686,0.966667,7
fnn,occlusion,28,0.470918,0.437287,0.559367,0.865829,0.910714,0.54463,0.928571,8
fnn,lime,28,0.461692,0.42843,0.592071,0.840764,0.886905,0.542832,0.928571,9
fnn,integrated_gradients_steps50,28,0.464668,0.426134,0.584011,0.837043,0.928571,0.540727,0.928571,10
fnn,integrated_gradients_steps100,28,0.464668,0.426134,0.583674,0.836342,0.916667,0.540537,0.928571,11
transformer,occlusion,30,0.466508,0.438016,0.452319,0.909639,0.811111,0.524365,0.966667,12
