sample_id,text,true_label,sample_type,selection_reason
case_001,이 영화 정말 재미있어요 추천합니다,,custom,inputs.txt
case_002,스토리가 지루하고 배우들 연기도 별로네요,,custom,inputs.txt
case_003,처음엔 지루했는데 갈수록 정말 재미있어지네요,,custom,inputs.txt
case_004,배우들의 연기는 명품인데 각본이 너무 쓰레기네요,,custom,inputs.txt
case_005,와... 이런 영화에 내 피 같은 돈을 쓰다니 대단하다,,custom,inputs.txt
case_006,수면제 대신 보면 딱 좋은 훌륭한 영화입니다,,custom,inputs.txt
case_007,와 진짜 개존잼!!! 꼭보세요 ㅋㅋㅋ,,custom,inputs.txt
case_008,시간낭비 오지구요 지리구요 다신 안봄 ㅡㅡ,,custom,inputs.txt
case_009,스토리가 지루하긴 한데 배우들은 멋있음,,custom,inputs.txt
case_010,"상당히 재미있는 영화에요 친구들이나 부모님, 가족끼리 보면 더 재밌을 것 같아요",,custom,inputs.txt
