layer,edit_type,k,top_delta_strength,rand_delta_strength,wilcoxon_p_val_top_gt_rand,top_alignment,top_sentiment_ratio
0,mask,1,0.01609398,0.033057176,0.9363000438999027,0.0023295472,0.0023295472
0,mask,2,0.026223354,0.072793834,0.9270002543926239,0.004056881,0.004056881
0,mask,3,0.037272744,0.094632015,0.8644971856847405,0.0054086014,0.0056346264
0,delete,1,-0.011736484,0.02401438,0.9591290778897191,-0.0014672461,0.0014672461
0,delete,2,-0.009989425,0.0629912,0.9650535443797708,-0.0012654612,0.0016690309
0,delete,3,0.10304969,0.0560085,0.7010961147025228,0.010483829,0.0139879
1,mask,1,-0.0007849554,0.0072523584,0.9240565402433276,-0.039390504,0.08254085
1,mask,2,0.0055546737,0.016294084,0.7486194763332605,-0.008343119,0.060490206
1,mask,3,0.009874408,0.025044702,0.7150712013244629,-0.0089062145,0.056702744
1,delete,1,-0.020404667,0.00486228,0.9763704752549529,-0.04415942,0.0860693
1,delete,2,-0.016469803,0.013598308,0.7860226966440678,-0.023798652,0.08622706
1,delete,3,0.05170761,0.018104674,0.6117155831307173,-0.0075086183,0.09887361
2,mask,1,-0.0032666093,0.0134130325,0.9738683262839913,-0.008888809,0.11713388
2,mask,2,0.018159965,0.015483568,0.32041270192712545,0.025021909,0.09608131
2,mask,3,0.02861197,0.031045016,0.5,0.02569002,0.104325585
2,delete,1,-0.014817381,0.0068288743,0.9807907911017537,-0.021929352,0.11841133
2,delete,2,0.0025357264,0.020414982,0.8253943100571632,-0.016153496,0.16993254
2,delete,3,0.22589968,0.050327566,0.6795872980728745,0.010240986,0.19500616
3,mask,1,0.011266027,0.008476218,0.17460568994283676,0.035342883,0.068243116
3,mask,2,0.014274211,0.010815203,0.21397730335593224,0.03414791,0.051168364
3,mask,3,0.019069757,0.016049083,0.2645525922998786,0.034965567,0.058296017
3,delete,1,-0.004065214,0.0017550831,0.940461715683341,-0.01057915,0.054603335
3,delete,2,-0.00868782,0.0071316794,0.9240565402433276,-0.018951355,0.06521627
3,delete,3,0.119738586,0.02027775,0.7977527482435107,0.011821294,0.097098306
4,mask,1,0.008786188,0.0033348426,0.01549240481108427,0.067518495,0.10231015
4,mask,2,0.016126612,0.00662963,0.0038060685619711876,0.078180924,0.11472777
4,mask,3,0.019095443,0.0111045,0.0030974959954619408,0.07090267,0.09085557
4,delete,1,0.005793838,0.0013635033,0.04805078636854887,0.052465845,0.087777264
4,delete,2,0.0140735805,0.0019951412,0.012393025681376457,0.07683954,0.13564076
4,delete,3,0.03156082,0.00589003,0.024855060502886772,0.076554276,0.12815668
5,mask,1,0.0070607318,0.0056609297,0.27805663738399744,0.072851405,0.1707947
5,mask,2,0.010261183,0.007038808,0.20224725175648928,0.05485324,0.13373111
5,mask,3,0.01342755,0.011079732,0.12247321475297213,0.06261078,0.12537357
5,delete,1,0.0034265544,0.0017411093,0.24492304399609566,0.04773438,0.16789809
5,delete,2,0.0060063223,0.0026953944,0.1908992175012827,0.03575643,0.15453932
5,delete,3,0.018802753,0.009975894,0.27805663738399744,0.080798164,0.17969973
6,mask,1,0.009550846,0.0049430965,0.0033197682350873947,0.1373526,0.16772863
6,mask,2,0.01173563,0.006187647,0.009830407798290253,0.111988425,0.14095543
6,mask,3,0.018123688,0.010496184,0.000859295018017292,0.1330885,0.14898844
6,delete,1,0.004867695,0.0023558587,0.07897383719682693,0.11553694,0.18222196
6,delete,2,0.008462829,0.0039524036,0.018217498436570168,0.15465052,0.21037285
6,delete,3,0.017332014,0.009701386,0.030282615683972836,0.1850996,0.21169582
7,mask,1,0.026773835,0.016767574,0.0004359101876616478,0.18046337,0.18046337
7,mask,2,0.038729507,0.024765722,8.494872599840164e-05,0.19309708,0.1989551
7,mask,3,0.043306682,0.033781126,0.0017375778406858444,0.15777543,0.15953493
7,delete,1,0.0152889425,0.0066816714,0.0009320033714175224,0.16596714,0.20835543
7,delete,2,0.029047016,0.0119598145,6.166845560073853e-05,0.21770082,0.23343065
7,delete,3,0.038795162,0.022178808,4.428252577781677e-05,0.23034766,0.23054773
8,mask,1,0.10134447,0.056673575,0.00036480091512203217,0.18375708,0.19490321
8,mask,2,0.16953948,0.08938141,2.210959792137146e-06,0.2178933,0.22332695
8,mask,3,0.19109437,0.12442006,0.00036480091512203217,0.21190163,0.22306485
8,delete,1,0.06236028,0.021816164,0.0005657272413372993,0.1770758,0.220005
8,delete,2,0.11794318,0.039724257,0.00015637744218111038,0.22779125,0.2408059
8,delete,3,0.1950893,0.08737462,3.1433068215847015e-05,0.26715693,0.26733097
9,mask,1,0.40055293,0.18920271,0.00036480091512203217,0.4015984,0.41640502
9,mask,2,0.64430064,0.32600337,5.304813385009766e-06,0.47945127,0.48529544
9,mask,3,0.77606976,0.49498716,1.7265789210796356e-05,0.48453206,0.48663935
9,delete,1,0.31043637,0.082750455,0.0007287384942173958,0.33875445,0.4480476
9,delete,2,0.48695692,0.15481058,2.7962960302829742e-05,0.44711053,0.47797793
9,delete,3,0.7338258,0.30950376,9.122304618358612e-06,0.5108631,0.5184754
10,mask,1,1.3628743,0.45269692,0.002332402393221855,0.32884318,0.3806909
10,mask,2,2.2722745,0.8184898,1.5247613191604614e-05,0.4524292,0.47170177
10,mask,3,2.9516566,1.4306552,1.952052116394043e-05,0.50064456,0.50101656
10,delete,1,1.172404,0.25619087,0.0016114944592118263,0.30323356,0.40374452
10,delete,2,1.7908652,0.47548178,0.0001724790781736374,0.40992314,0.46807086
10,delete,3,2.9071202,1.0351983,6.166845560073853e-05,0.51831234,0.5404173
11,mask,1,2.3772662,0.43778324,0.0729997456073761,0.16774403,0.23645584
11,mask,2,4.108095,0.9403317,0.00015637744218111038,0.32924595,0.3465385
11,mask,3,5.9481587,2.0956163,1.952052116394043e-05,0.4624046,0.49284613
11,delete,1,2.1829267,0.45998096,0.059538284316658974,0.18671677,0.25754353
11,delete,2,3.5939794,0.87315905,0.010424925945699215,0.27442455,0.32825276
11,delete,3,6.1133704,1.860847,0.0001416318118572235,0.43992537,0.4659713
12,mask,1,3.1530197,0.65599144,0.030282615683972836,0.19328828,0.2603231
12,mask,2,6.09179,1.5403885,5.529075860977173e-05,0.38233027,0.406398
12,mask,3,8.973018,3.4477453,6.091780960559845e-06,0.51627696,0.5301352
12,delete,1,2.750551,0.56536645,0.045974813401699066,0.18357089,0.23380065
12,delete,2,5.622291,1.2389238,0.0033197682350873947,0.34059027,0.37339464
12,delete,3,8.604029,2.852428,3.955326974391937e-05,0.47869384,0.50631803
